author;author_type;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_m2;price;district;street;house_number;underground;residential_complex
ANT Development;developer;https://www.cian.ru/sale/flat/291563636/;Москва;sale;flat;28;34;2;51.2;954271;48858726;Дорогомилово;Поклонная ;9;Парк Победы;Поклонная 9
SHOW ME;real_estate_agent;https://www.cian.ru/sale/flat/291778742/;Москва;sale;flat;37;37;-1;135.3;923872;125000000;Хорошевский;Ленинградский проспект;37/6;Аэропорт;Прайм Парк
ANT Development;developer;https://www.cian.ru/sale/flat/283856103/;Москва;sale;flat;10;34;3;86.8;1177508;102207781;Дорогомилово;Поклонная ;9;Парк Победы;Поклонная 9
LaRichesse;real_estate_agent;https://www.cian.ru/sale/flat/281332469/;Москва;sale;flat;5;6;3;111.0;608018;67490000;Беговой; 3-я Ямского Поля;9;Белорусская;Art Residence
ANT Development;developer;https://www.cian.ru/sale/flat/291385930/;Москва;sale;flat;26;34;4;134.1;966340;129586246;Дорогомилово;Поклонная ;9;Парк Победы;Поклонная 9
GRAND ESTATE - Премиальная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/292328510/;Москва;sale;flat;3;9;3;160.0;431187;68990000;Тверской;Самотечная ;5;Цветной бульвар;
Sminex-Интеко;developer;https://www.cian.ru/sale/flat/294448595/;Москва;sale;flat;3;3;3;201.95;2521911;509300000;Тверской; Ильинка;3/8С3;Площадь Революции;Коллекция клубных особняков Ильинка 3/8
Monumental Group;real_estate_agent;https://www.cian.ru/sale/flat/295131516/;Москва;sale;flat;3;9;3;160.0;431187;68990000;Тверской;Самотечная ;5;Цветной бульвар;
VESPER;developer;https://www.cian.ru/sale/flat/284599342/;Москва;sale;flat;-1;-1;-1;1067.0;2300862;2455020000;Тверской;1-я Тверская-Ямская ;2;Маяковская;Vesper Tverskaya
SHOW ME;real_estate_agent;https://www.cian.ru/sale/flat/294459537/;Москва;sale;flat;10;15;3;85.0;788235;67000000;Аэропорт;Ленинградский проспект;36с38;;ВТБ Арена парк
Sminex-Интеко;developer;https://www.cian.ru/sale/flat/294448591/;Москва;sale;flat;2;5;-1;46.25;2292540;106030000;Тверской;;;Площадь Революции;Ильинка 3/8 ЖК
SHOW ME;real_estate_agent;https://www.cian.ru/sale/flat/293126875/;Москва;sale;flat;21;23;4;244.1;327324;79900000;Хорошевский; Гризодубовой;2;ЦСКА;Гранд-парк
VOSHOD;developer;https://www.cian.ru/sale/flat/291158251/;Москва;sale;flat;-1;-1;-1;202.0;324106;65469600;Филевский парк; Василисы Кожиной;вл25/1;Филёвский парк;AHEAD
GRAND ESTATE - Премиальная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/293841159/;Москва;sale;flat;6;7;4;155.0;941935;146000000;Хамовники; Остоженка;5;Кропоткинская;
Sminex-Интеко;developer;https://www.cian.ru/sale/flat/294448686/;Москва;sale;flat;1;3;5;657.5;2266585;1490280000;Тверской;Богоявленский переулок;6С1;Площадь Революции;Коллекция клубных особняков Ильинка 3/8
Intermark Real Estate - ранее Savills - городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/291296532/;Москва;sale;flat;6;7;4;153.0;954248;146000000;Хамовники; Остоженка;5;Кропоткинская;
MR Group;developer;https://www.cian.ru/sale/flat/292946501/;Москва;sale;flat;9;37;4;113.1;655450;74131420;Беговой;Ленинградский проспект;вл8;Белорусская;Slava
КВАРТА-18;real_estate_agent;https://www.cian.ru/sale/flat/295173677/;Москва;sale;flat;5;6;1;57.0;640000;36480000;Тверской;Тверская ;12С7;Пушкинская;
Sminex-Интеко;developer;https://www.cian.ru/sale/flat/293713872/;Москва;sale;flat;1;3;4;456.7;2251040;1028050000;Якиманка;Большой Толмачевский переулок;5С5;Полянка;Дом Лаврушинский
КомСервис;real_estate_agent;https://www.cian.ru/sale/flat/285924764/;Москва;sale;flat;4;7;3;109.7;1800000;197460000;Хамовники;2-й Неопалимовский переулок;;Парк Культуры;Клубный особняк High Garden
Sminex-Интеко;developer;https://www.cian.ru/sale/flat/294448625/;Москва;sale;flat;1;5;2;76.22;2106796;160580000;Тверской;;;Площадь Революции;Ильинка 3/8 ЖК
ID 63915208;homeowner;https://www.cian.ru/sale/flat/292852371/;Москва;sale;flat;17;24;2;54.0;666481;35990000;Арбат; Новый Арбат;22;Смоленская;
MR Group;developer;https://www.cian.ru/sale/flat/292125921/;Москва;sale;flat;17;36;3;102.7;657480;67523278;Беговой;Ленинградский проспект;вл8;Белорусская;Slava
NIKA ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/293942039/;Москва;sale;flat;2;5;-1;305.0;1144262;349000000;Хамовники; Усачева;11К;Спортивная;Садовые кварталы
VOSHOD;developer;https://www.cian.ru/sale/flat/287785212/;Москва;sale;flat;-1;-1;-1;202.0;225990;45650160;Филевский парк; Василисы Кожиной;вл25/1;Филёвский парк;AHEAD
SHOW ME;real_estate_agent;https://www.cian.ru/sale/flat/261660705/;Москва;sale;flat;5;6;5;370.0;743243;275000000;Беговой; 3-я Ямского Поля;9;Белорусская;Art Residence
ДомДау;developer;https://www.cian.ru/sale/flat/292485278/;Москва;sale;flat;59;85;5;222.87;705929;157330404;Пресненский;Краснопресненская набережная;;Выставочная;Дом Дау
Intermark Real Estate - ранее Savills - городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/292001299/;Москва;sale;flat;4;6;5;213.9;1708308;365407170;Арбат;переулок Романов;5;Библиотека им. Ленина;
Компания Пионер;developer;https://www.cian.ru/sale/flat/292036722/;Москва;sale;flat;-1;-1;-1;202.0;218649;44167107;Марьина роща;Полковая ;1С12;Савёловская;PRIDE
КомСервис;real_estate_agent;https://www.cian.ru/sale/flat/285925030/;Москва;sale;flat;4;7;4;148.6;1800000;267480000;Хамовники;2-й Неопалимовский переулок;;Парк Культуры;Клубный особняк High Garden
Пионер;developer;https://www.cian.ru/sale/flat/291153374/;Москва;sale;flat;10;11;4;193.6;978155;189370808;Даниловский;;;Павелецкая;Опус ЖК
OXE CAPITAL - Элитная Недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/288162001/;Москва;sale;flat;22;24;2;66.0;537878;35500000;Хорошево-Мневники; Народного Ополчения;11;Терехово ;Wellton park
Основа;developer;https://www.cian.ru/sale/flat/292153910/;Москва;sale;flat;25;28;4;100.0;405000;40500000;Хорошево-Мневники;2-й Силикатный проезд;14к5с2;Полежаевская;Emotion
OXE CAPITAL - Элитная Недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/294621376/;Москва;sale;flat;19;22;3;77.0;462060;35578640;Хорошево-Мневники;Карамышевская набережная;22А;Карамышевская;
Absolute Premium;developer;https://www.cian.ru/sale/flat/286935010/;Москва;sale;flat;17;18;4;154.6;964501;149112000;Хамовники;;;Воробьёвы горы;Коллекция Лужники ЖК
КомСервис;real_estate_agent;https://www.cian.ru/sale/flat/285925205/;Москва;sale;flat;4;7;2;75.2;1800000;135360000;Хамовники;2-й Неопалимовский переулок;;Парк Культуры;Клубный особняк High Garden
Балтийская Строительная Компания;developer;https://www.cian.ru/sale/flat/292702660/;Москва;sale;flat;8;13;4;154.3;1118651;172607941;Арбат; Новый Арбат;;Смоленская;Звёзды Арбата
CENTURY 21;real_estate_agent;https://www.cian.ru/sale/flat/295219208/;Москва;sale;flat;9;10;3;100.4;268924;27000000;Москворечье-Сабурово;переулок 1-й Котляковский;2Ак3;Варшавская;LIFE Варшавская
Sminex-Интеко;developer;https://www.cian.ru/sale/flat/294328912/;Москва;sale;flat;6;6;5;375.8;3076875;1156290000;Басманный;Потаповский переулок;5С4;Чистые пруды;Чистые Пруды
CENTURY 21;real_estate_agent;https://www.cian.ru/sale/flat/295177854/;Москва;sale;flat;9;10;4;100.4;268924;27000000;Москворечье-Сабурово;переулок 1-й Котляковский;2Ак3;Варшавская;LIFE Варшавская
Sminex-Интеко;developer;https://www.cian.ru/sale/flat/293713961/;Москва;sale;flat;6;6;4;351.3;5416965;1902980000;Хамовники;3-й Обыденский переулок;1С1;;Клубный дом Обыденский № 1
Century 21 Street Realty;real_estate_agent;https://www.cian.ru/sale/flat/289730770/;Москва;sale;flat;38;58;4;108.6;552394;59990000;Хорошево-Мневники; Народного Ополчения;15К1;Народное Ополчение;Wellton Towers
MR Group;developer;https://www.cian.ru/sale/flat/295013507/;Москва;sale;flat;-1;-1;-1;202.0;388741;78525800;Раменки;1-й Сетуньский проезд;вл10;Лужники;Hide
MHEstate - Элитная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/293947005/;Москва;sale;flat;3;17;4;115.0;639130;73500000;Раменки;Мосфильмовская ;88к2с5;Раменки;Мосфильмовский
MR Group;developer;https://www.cian.ru/sale/flat/292153250/;Москва;sale;flat;19;36;2;78.8;619273;48798756;Беговой;Ленинградский проспект;вл8;Белорусская;Slava
Century 21 Street Realty;real_estate_agent;https://www.cian.ru/sale/flat/286823160/;Москва;sale;flat;11;58;4;108.2;397412;43000000;Хорошево-Мневники; Народного Ополчения;15К1;Народное Ополчение;Wellton Towers
MR Group;developer;https://www.cian.ru/sale/flat/294977289/;Москва;sale;flat;23;27;4;104.2;507459;52877241;Даниловский;Дубининская ;59к6;Серпуховская;Павелецкая сити
Century 21 Street Realty;real_estate_agent;https://www.cian.ru/sale/flat/292702775/;Москва;sale;flat;20;58;4;94.5;401058;37900000;Хорошево-Мневники; Народного Ополчения;15К1;Народное Ополчение;Wellton Towers
Сбербанк Капитал;developer;https://www.cian.ru/sale/flat/294508972/;Москва;sale;flat;2;7;4;189.3;1002701;189811432;Якиманка;Софийская набережная;34С2;;Царев сад
Century 21 Street Realty;real_estate_agent;https://www.cian.ru/sale/flat/292707649/;Москва;sale;flat;20;58;4;127.5;407843;52000000;Хорошево-Мневники; Народного Ополчения;15К1;Народное Ополчение;Wellton Towers
Sminex-Интеко;developer;https://www.cian.ru/sale/flat/294448674/;Москва;sale;flat;2;4;1;66.67;2355932;157070000;Тверской;;;Площадь Революции;Ильинка 3/8 ЖК
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/290542417/;Москва;sale;flat;3;7;5;145.0;965517;140000000;Замоскворечье;Садовническая ;29;Новокузнецкая;BALCHUG RESIDENCE
VOSHOD;developer;https://www.cian.ru/sale/flat/291158248/;Москва;sale;flat;-1;-1;-1;202.0;197285;39851760;Филевский парк; Василисы Кожиной;вл25/1;Филёвский парк;AHEAD
NF Group - ex-Knight Frank Russia;real_estate_agent;https://www.cian.ru/sale/flat/287685458/;Москва;sale;flat;4;13;3;148.7;934767;139000000;Пресненский;2-я Черногрязская ;6к2;Улица 1905 года;RedSide
MR Group;developer;https://www.cian.ru/sale/flat/294917189/;Москва;sale;flat;11;36;1;44.1;700818;30906102;Беговой;Ленинградский проспект;вл8;Белорусская;Slava
NF Group - ex-Knight Frank Russia;real_estate_agent;https://www.cian.ru/sale/flat/289786481/;Москва;sale;flat;19;57;5;218.3;659642;144000000;Хорошевский;Чапаевский переулок;3;Аэропорт;Триумф-Палас
Sminex-Интеко;developer;https://www.cian.ru/sale/flat/293713730/;Москва;sale;flat;5;14;1;67.2;2467708;165830000;Якиманка;;;Третьяковская;Лаврушинский ЖК
NIKA ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/293520717/;Москва;sale;flat;2;9;4;109.0;1146788;125000000;Таганский;Серебрянический переулок;8;Китай-город;Титул на Серебрянической
Мангазея;developer;https://www.cian.ru/sale/flat/293671427/;Москва;sale;flat;-1;-1;-1;202.0;349568;70612900;Щукино;Щукинская ;3;Стрешнево;Интонация
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/292945987/;Москва;sale;flat;2;9;4;108.6;1151012;125000000;Таганский;Серебрянический переулок;8;Китай-город;Титул на Серебрянической
Sminex-Интеко;developer;https://www.cian.ru/sale/flat/293713709/;Москва;sale;flat;2;14;3;142.1;1748909;248520000;Якиманка;;;Третьяковская;Лаврушинский ЖК
Города;real_estate_agent;https://www.cian.ru/sale/flat/293494110/;Москва;sale;flat;13;14;2;86.2;318375;27444011;Аэропорт;Ленинградский проспект;52;Аэропорт;Помидор
ДомДау;developer;https://www.cian.ru/sale/flat/290327724/;Москва;sale;flat;34;85;1;53.77;728652;39179634;Пресненский;Краснопресненская набережная;;Выставочная;Дом Дау
Сергей Пунько;realtor;https://www.cian.ru/sale/flat/294607942/;Москва;sale;flat;4;13;-1;333.0;1450450;483000000;Хамовники;Большая Пироговская ;8;Спортивная;
ДомДау;developer;https://www.cian.ru/sale/flat/292485535/;Москва;sale;flat;77;85;3;148.92;785604;116992148;Пресненский;Краснопресненская набережная;;Выставочная;Дом Дау
NIKA ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/277607301/;Москва;sale;flat;1;7;4;201.6;1984126;400000000;Хамовники; Ефремова;19к1;Спортивная;Knightsbridge Private Park
Sminex-Интеко;developer;https://www.cian.ru/sale/flat/293713697/;Москва;sale;flat;4;14;2;104.7;1715759;179640000;Якиманка;;;Третьяковская;Лаврушинский ЖК
Contact Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/280251616/;Москва;sale;flat;1;7;4;201.6;1984126;400000000;Хамовники; Ефремова;19к2;Спортивная;Knightsbridge Private Park
Capital Group;developer;https://www.cian.ru/sale/flat/283759896/;Москва;sale;flat;15;18;4;177.9;1107649;197050904;Дорогомилово;;;Киевская;Бадаевский ЖК
Времена года;real_estate_agent;https://www.cian.ru/sale/flat/292988543/;Москва;sale;flat;14;15;5;271.0;1300239;352365000;Хамовники; Усачева;15кБ;Спортивная;Садовые кварталы
ДомДау;developer;https://www.cian.ru/sale/flat/290636650/;Москва;sale;flat;36;85;2;83.85;709598;59499876;Пресненский;Краснопресненская набережная;;Выставочная;Дом Дау
Владислав Карпов;realtor;https://www.cian.ru/sale/flat/294966289/;Москва;sale;flat;8;9;1;33.0;401515;13250000;Строгино; Маршала Катукова;20К2;Строгино;
Пионер;developer;https://www.cian.ru/sale/flat/291153311/;Москва;sale;flat;8;11;3;85.3;761635;64967550;Даниловский;;;Павелецкая;Опус ЖК
Century 21 Street Realty;real_estate_agent;https://www.cian.ru/sale/flat/293760838/;Москва;sale;flat;18;48;1;42.4;471698;20000000;Хорошево-Мневники; Народного Ополчения;15К1;Народное Ополчение;Wellton Towers
VESPER;developer;https://www.cian.ru/sale/flat/269082249/;Москва;sale;flat;-1;-1;-1;3.5;141856000;496496000;Пресненский; Костикова;4к6;Улица 1905 года;Lucky
Century 21 Street Realty;real_estate_agent;https://www.cian.ru/sale/flat/287452617/;Москва;sale;flat;31;58;1;38.0;500000;19000000;Хорошево-Мневники; Народного Ополчения;15К2;Народное Ополчение;Wellton Towers
Пионер;developer;https://www.cian.ru/sale/flat/291153328/;Москва;sale;flat;9;11;2;75.3;804224;60558142;Даниловский;;;Павелецкая;Опус ЖК
Century 21 Street Realty;real_estate_agent;https://www.cian.ru/sale/flat/293954095/;Москва;sale;flat;37;48;1;42.4;518867;22000000;Хорошево-Мневники; Народного Ополчения;15К1;Народное Ополчение;Wellton Towers
Sminex-Интеко;developer;https://www.cian.ru/sale/flat/293715042/;Москва;sale;flat;5;12;2;86.1;641114;55200000;Сокол; Врубеля;4к1;Панфиловская;Врубеля 4
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/294549305/;Москва;sale;flat;16;57;5;219.0;657534;144000000;Хорошевский;Чапаевский переулок;3;Аэропорт;Триумф-Палас
Sminex-Интеко;developer;https://www.cian.ru/sale/flat/293715040/;Москва;sale;flat;8;12;3;119.0;634033;75450000;Сокол; Врубеля;4к1;Панфиловская;Врубеля 4
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/294907870/;Москва;sale;flat;2;7;3;151.3;1916721;290000000;Хамовники; Плющиха;37;Киевская;Клубный дом Bunin
MR Group;developer;https://www.cian.ru/sale/flat/288222052/;Москва;sale;flat;49;49;4;135.02;612397;82685880;Савеловский;;;Дмитровская;Симфония 34 ЖК
NF Group - ex-Knight Frank Russia;real_estate_agent;https://www.cian.ru/sale/flat/289295018/;Москва;sale;flat;14;21;2;68.0;1010294;68700000;Пресненский; Костикова;4к1;Улица 1905 года;Lucky
MR Group;developer;https://www.cian.ru/sale/flat/292934485/;Москва;sale;flat;49;55;4;111.08;470000;52207600;Марьина роща; 4-я Марьиной рощи;12К1;Марьина Роща;Mod
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/271160759/;Москва;sale;flat;36;44;5;162.0;895061;145000000;Раменки;Минская ;2;Минская;Долина Сетунь
Sense Development;developer;https://www.cian.ru/sale/flat/294661763/;Москва;sale;flat;9;13;2;63.7;546672;34823070;Даниловский;Подольское шоссе;3;Тульская;Logos
NF Group - ex-Knight Frank Russia;real_estate_agent;https://www.cian.ru/sale/flat/292484638/;Москва;sale;flat;3;3;5;357.0;1000000;357000000;Тверской;Долгоруковская ;23А;Маяковская;Cameo Moscow Villas
ANT Development;developer;https://www.cian.ru/sale/flat/291694342/;Москва;sale;flat;10;10;4;195.57;1305374;255292056;Дорогомилово;;;Парк Победы;Виктори Парк Резиденсез ЖК
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/294177139/;Москва;sale;flat;1;7;4;202.0;1980198;399999999;Хамовники; Ефремова;19к2;Спортивная;Knightsbridge Private Park
EraOneHolding;developer;https://www.cian.ru/sale/flat/274788004/;Москва;sale;flat;3;5;4;206.7;900000;186030000;Арбат; Арбат;39;Смоленская;Artisan
ID 11188677;unknown;https://www.cian.ru/sale/flat/294737036/;Москва;sale;flat;6;10;3;89.48;581135;52000000;Сокол;Ленинградский проспект;75А;Сокол;
Sense Development;developer;https://www.cian.ru/sale/flat/294519150/;Москва;sale;flat;6;13;1;39.8;540612;21516378;Даниловский;Подольское шоссе;3;Тульская;Logos
Marry Lane Group;real_estate_agent;https://www.cian.ru/sale/flat/292853107/;Москва;sale;flat;42;44;-1;69.3;750360;52000000;Пресненский;Ходынская ;2;Улица 1905 года;Пресня Сити
Компания Пионер;developer;https://www.cian.ru/sale/flat/294700223/;Москва;sale;flat;7;32;4;114.8;595760;68393362;Даниловский;;;Павелецкая;Хай Лайф ЖК
GRAND ESTATE - Премиальная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/293702601/;Москва;sale;flat;4;14;3;93.8;565031;53000000;Тверской;Воротниковский переулок;2/11;Тверская;
EraOneHolding;developer;https://www.cian.ru/sale/flat/289125489/;Москва;sale;flat;4;8;4;226.9;842105;191073684;Арбат; Арбат;24;Арбатская;Turandot Residences
White and Broughton;real_estate_agent;https://www.cian.ru/sale/flat/290499455/;Москва;sale;flat;3;40;1;45.5;725274;33000000;Хорошевский;Ленинградский проспект;37/4;Динамо;Прайм Парк
Sense Development;developer;https://www.cian.ru/sale/flat/293250371/;Москва;sale;flat;7;13;3;99.0;580439;57463509;Даниловский;Подольское шоссе;3;Тульская;Logos
White and Broughton;real_estate_agent;https://www.cian.ru/sale/flat/292416804/;Москва;sale;flat;2;41;2;60.0;783333;47000000;Хорошевский;Ленинградский проспект;37/5;Динамо;Прайм Парк
ЭЛИТА-ЭКО;developer;https://www.cian.ru/sale/flat/292406311/;Москва;sale;flat;2;14;4;100.3;787000;78936100;Дорогомилово;1-й Можайский тупик;8АС1;Киевская;D'ORO MILLE
Contact Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/287972210/;Москва;sale;flat;4;6;4;216.0;1527777;330000000;Якиманка;Софийская набережная;18;Боровицкая;Золотой, жилой квартал 2
Компания Пионер;developer;https://www.cian.ru/sale/flat/293696076/;Москва;sale;flat;-1;-1;-1;202.0;85620;17295424;Марьина роща;Полковая ;1С12;Савёловская;PRIDE
Marry Lane Group;real_estate_agent;https://www.cian.ru/sale/flat/292853076/;Москва;sale;flat;40;44;-1;116.0;793103;92000000;Пресненский;Ходынская ;2;Улица 1905 года;Пресня Сити
Компания Пионер;developer;https://www.cian.ru/sale/flat/294305609/;Москва;sale;flat;-1;-1;-1;202.0;105882;21388347;Марьина роща;Полковая ;1С12;Савёловская;PRIDE
Винидиктов и Партнеры;real_estate_agent;https://www.cian.ru/sale/flat/294825453/;Москва;sale;flat;3;12;4;117.3;664961;78000000;Замоскворечье;Мытная ;7с1;Добрынинская;Английский квартал
Ташир;developer;https://www.cian.ru/sale/flat/294606806/;Москва;sale;flat;2;16;4;103.25;440000;45430000;Даниловский; Серпуховский Вал;1;Тульская;DECO RESIDENCE (Апартаменты премиум-класса)
Contact Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/289915708/;Москва;sale;flat;2;7;3;151.0;1920529;290000000;Хамовники; Плющиха;37;Смоленская;Клубный дом Bunin
Sminex-Интеко;developer;https://www.cian.ru/sale/flat/293713979/;Москва;sale;flat;2;21;4;140.8;674715;95000000;Пресненский;;;Улица 1905 года;Лайф Тайм ЖК
Винидиктов и Партнеры;real_estate_agent;https://www.cian.ru/sale/flat/294825438/;Москва;sale;flat;2;17;4;131.0;655725;85900000;Замоскворечье;Мытная ;7с2;Серпуховская;Английский квартал
Стадион Спартак;developer;https://www.cian.ru/sale/flat/293949038/;Москва;sale;flat;13;22;4;142.5;683500;97398750;Покровское-Стрешнево;Северо-Западный ао;;Спартак;Клубный Город на Реке Примавера ЖК
LaRichesse;real_estate_agent;https://www.cian.ru/sale/flat/277363669/;Москва;sale;flat;5;8;2;55.2;525362;29000000;Пресненский;Садовая-Кудринская ;7;Баррикадная;
Компания Пионер;developer;https://www.cian.ru/sale/flat/293820876/;Москва;sale;flat;-1;-1;-1;202.0;181361;36634962;Марьина роща;Полковая ;1С12;Савёловская;PRIDE
NF Group - ex-Knight Frank Russia;real_estate_agent;https://www.cian.ru/sale/flat/287037847/;Москва;sale;flat;28;28;-1;243.2;349506;85000000;Ломоносовский; Архитектора Власова;8;Профсоюзная;Академдом
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/294495978/;Москва;sale;flat;19;20;4;127.5;464000;59160000;Басманный; Фридриха Энгельса;56;Бауманская;Дом 56
ID 53449814;unknown;https://www.cian.ru/sale/flat/293894077/;Москва;sale;flat;5;15;2;128.7;2874902;370000000;Тверской; Охотный Ряд;2;Охотный ряд;
ФСК;developer;https://www.cian.ru/sale/flat/292242009/;Москва;sale;flat;-1;-1;-1;202.0;306791;61971840;Свиблово;Снежная ;вл22к3;Свиблово;The Lake
NF Group - ex-Knight Frank Russia;real_estate_agent;https://www.cian.ru/sale/flat/293707715/;Москва;sale;flat;4;14;3;93.8;565031;53000000;Тверской;Воротниковский переулок;2/11;Пушкинская;
Absolute Premium;developer;https://www.cian.ru/sale/flat/291158312/;Москва;sale;flat;15;18;2;81.5;1154269;94073000;Хамовники;;;Воробьёвы горы;Коллекция Лужники ЖК
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/292263870/;Москва;sale;flat;15;15;2;60.4;662251;40000000;Беговой;Ленинградский проспект;35С2;Петровский Парк;Квартал апартаментов Искра-Парк
Absolute Premium;developer;https://www.cian.ru/sale/flat/294178731/;Москва;sale;flat;12;18;3;105.1;1192873;125371000;Хамовники;;;Воробьёвы горы;Коллекция Лужники ЖК
MHEstate - Элитная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/293947016/;Москва;sale;flat;3;17;3;115.0;639130;73500000;Раменки;Мосфильмовская ;88к2с5;Раменки;Мосфильмовский
Sminex-Интеко;developer;https://www.cian.ru/sale/flat/293713275/;Москва;sale;flat;13;13;4;195.8;707048;138440000;Раменки;;к8;Минская;Вест Гарден ЖК
ID 413522;realtor;https://www.cian.ru/sale/flat/284734109/;Москва;sale;flat;5;12;-1;235.5;1299787;306100000;Хамовники; Усачева;13;Спортивная;Садовые кварталы
KR Properties;developer;https://www.cian.ru/sale/flat/287772358/;Москва;sale;flat;6;6;5;310.15;1190000;369078500;Хамовники;Зубовская ;7;Парк Культуры;Roza Rossa
NF Group - ex-Knight Frank Russia;real_estate_agent;https://www.cian.ru/sale/flat/293515378/;Москва;sale;flat;20;20;-1;457.1;1696294;775376190;Гагаринский; Косыгина;13к1;Воробьёвы горы;Фамильный дом Воробьево
GRAVION;developer;https://www.cian.ru/sale/flat/288751021/;Москва;sale;flat;9;9;-1;316.67;2500000;791675000;Якиманка;Ленинский проспект;2;Октябрьская;Клубный дом CULT
Владислав Карпов;realtor;https://www.cian.ru/sale/flat/295088838/;Москва;sale;flat;9;9;2;46.0;345652;15900000;Коньково; Генерала Антонова;1;Беляево;
Основа;developer;https://www.cian.ru/sale/flat/292153870/;Москва;sale;flat;-1;-1;-1;202.0;196913;39776500;Хорошево-Мневники;2-й Силикатный проезд;14к5с2;Полежаевская;Emotion
Bespoke Estate;real_estate_agent;https://www.cian.ru/sale/flat/291429259/;Москва;sale;flat;23;41;4;136.5;879120;120000000;Хорошевский;Ленинградский проспект;37/6;Аэропорт;Прайм Парк
Ташир;developer;https://www.cian.ru/sale/flat/274701259/;Москва;sale;flat;3;17;4;122.8;524600;64420880;Раменки;;;;Легаси ЖК
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/293810270/;Москва;sale;flat;23;37;4;135.6;884955;120000000;Хорошевский;Ленинградский проспект;37/6;Аэропорт;Прайм Парк
ID 39404589;developer;https://www.cian.ru/sale/flat/295079379/;Москва;sale;flat;42;42;-1;174.0;477700;83119800;Котловка;;к2;Крымская;Энитео ЖК
White and Broughton;real_estate_agent;https://www.cian.ru/sale/flat/293781651/;Москва;sale;flat;10;41;4;112.8;975177;110000000;Хорошевский;Ленинградский проспект;37/6;Динамо;Прайм Парк
Балтийская Строительная Компания;developer;https://www.cian.ru/sale/flat/292702584/;Москва;sale;flat;3;13;3;122.7;804920;98763757;Арбат; Новый Арбат;;Смоленская;Звёзды Арбата
White and Broughton;real_estate_agent;https://www.cian.ru/sale/flat/273469240/;Москва;sale;flat;37;41;4;135.3;923872;125000000;Хорошевский;Ленинградский проспект;37/6;Динамо;Прайм Парк
Sminex-Интеко;developer;https://www.cian.ru/sale/flat/293711773/;Москва;sale;flat;25;27;4;170.59;707720;120730000;Марфино; Академика Королева;21;Бутырская;Дом Достижение
White and Broughton;real_estate_agent;https://www.cian.ru/sale/flat/292933473/;Москва;sale;flat;16;40;1;41.1;766423;31500000;Хорошевский;Ленинградский проспект;37/4;Динамо;Прайм Парк
Sminex-Интеко;developer;https://www.cian.ru/sale/flat/294328851/;Москва;sale;flat;1;6;2;102.2;1681311;171830000;Басманный;Потаповский переулок;5С4;Чистые пруды;Чистые Пруды
Дмитрий Ловецкий;realtor;https://www.cian.ru/sale/flat/295087827/;Москва;sale;flat;1;12;2;71.0;408450;29000000;Проспект Вернадского; Удальцова;24;Проспект Вернадского;
Sminex-Интеко;developer;https://www.cian.ru/sale/flat/293711658/;Москва;sale;flat;3;6;3;136.8;1704239;233140000;Басманный;Потаповский переулок;5С4;Чистые пруды;Чистые Пруды
MAXIMUM PLUS;real_estate_agent;https://www.cian.ru/sale/flat/294988573/;Москва;sale;flat;23;29;4;135.2;288461;39000000;Можайский;переулок 2-й Петра Алексеева;5;Рабочий посёлок;КутузовGRAD II
Основа;developer;https://www.cian.ru/sale/flat/292154031/;Москва;sale;flat;6;28;2;41.3;413200;17065160;Хорошево-Мневники;2-й Силикатный проезд;14к5с2;Полежаевская;Emotion
SKYEST;real_estate_agent;https://www.cian.ru/sale/flat/294445387/;Москва;sale;flat;2;5;4;180.0;861111;155000000;Хамовники; Усачева;15А;Спортивная;Садовые кварталы
Forma;developer;https://www.cian.ru/sale/flat/295119934/;Москва;sale;flat;16;25;4;107.0;419300;44865100;Аэропорт;Часовая ;28к8;Красный Балтиец;SOUL
ID 76242457;unknown;https://www.cian.ru/sale/flat/283956456/;Москва;sale;flat;8;12;-1;99.0;555555;55000000;Тверской;2-я Брестская ;6;Маяковская;Резиденция Тверская
